GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
2562,100205568,D+,B+,,C+,D,C+,C,C+,,F,,B+,D,D,D,D,,D,F,D+,D+,D+,D+,B+,C,,,,B,C+,2.1
2562,100205606,D,B+,,D+,D,C,,C+,,,,D+,C,D+,F,B+,,C,D,D+,C,C+,D,D+,C,C+,C,,C+,C,2
2564,100215265,F,B,,D+,D+,C,C+,C+,,,C,B+,C+,C+,D,B,,D,D,B+,D,F,D,C+,,C,,,B,C,2.01
2562,100225543,F,C+,,F,D,C+,,C+,,,C+,C+,D+,D+,C,D+,,C,F,C+,C,D,D+,D+,,,C,,B,C+,2.1
2565,100225544,F,C+,,F,C,B,,C+,,A,D+,C+,C+,B,F,C+,,C+,D+,B+,D+,D,D+,D+,,D+,C,,B,C,2.15
2562,100225553,F,D+,,F,C,C,,C+,,,C+,F,D+,C,C+,C,,C+,C,C+,D,D,D+,D+,,F,C,,B,B+,2
2562,100225572,D+,A,,D,A,B+,,B,,,,A,D+,D+,C+,C,,C,D,A,D+,D+,F,C,C+,,C,,B,C,2.46
2562,100225580,D+,C+,,F,C,B,A,C+,,,C,C,D+,C,C,C,,C,D+,C,D+,D,F,C+,C+,D+,C,,C+,C+,2.08
2562,100239251,D,C,,D+,D,B,,C+,B+,A,B,A,D,D,B,C+,,C,D+,C,C,C+,D+,D+,C+,,C+,,A,B+,2.3
2562,100239272,C+,B,,C+,A,B,B,C+,B+,,C,A,A,B,A,B+,,B+,C+,C,A,A,B,B+,A,A,C+,,A,A,3.3
2562,100239306,D,C+,,D,C,B,B,B,A,,B,B+,C+,D,B,C+,,C,D+,C,C,D+,C,C+,C+,C+,C+,,B,B,2.4
2563,100239308,F,C,,B,D,C+,D+,C+,B+,,C+,B+,D,C+,C+,D,,C,F,C,D,D+,D,D,C+,C,C+,,B,C,2.14
2562,100239321,D,C,,C+,C,C+,C+,C,B,,C,A,C+,D+,C+,B+,,C,A,C,C,F,C,D+,C,C+,C+,,B,C,2.45
2563,100239325,F,C+,,D+,C,B,D+,C+,A,,D+,C,D,D,C,C,,C,D,C,C,C,D+,D+,B,,D+,,B+,C+,2.01
2562,100239333,C+,B,,B+,B+,C+,,B,B+,A,B,A,A,B,B,A,,C,A,C,C+,C+,D+,C,C+,B+,B,,B+,C+,2.88
2562,100239381,D,C+,,D+,C,B,,C+,B,B+,C+,B+,C+,C+,C,C+,,C,D,B+,C,D+,D+,C,B,C,C+,,C+,B,2.27
2562,100239418,D+,C+,,D+,C,B+,C+,B,A,,B,A,B,D+,B+,B,,C,B,D+,C,D+,C,C+,C+,B,C+,,A,B,2.64
2562,100239446,D+,B+,,D+,C+,B+,,C,B+,A,C,A,C,C+,B+,B+,,C,B+,C+,B,A,C,D+,C+,,C,,B+,B,2.7
2562,100239462,C,C+,,C,C,C+,C,C+,B,,C+,A,D+,D,D+,C+,,C,C,C+,D+,C,D,D+,D+,,D+,,B,C,2.18
2562,100239469,D+,B+,,D+,C,C+,,C+,B+,A,C+,B+,B,C+,B+,C+,,C,C,D+,A,B,C,C+,A,,B,,B+,B+,2.75
2563,100239473,C+,C+,,F,D,C+,,C+,B,B,C+,C+,D+,D,D+,D+,,C,D,C,D,D,D,D+,D+,,C,,C+,C,2
2562,100239479,D+,C+,,C,C,B,B+,C+,B+,,C,A,C,D,B,C+,,C,B,C,C+,C+,C,C,B,C,B,,C+,A,2.49
2565,100239502,D,C+,,F,F,B,,C+,B,B+,D+,A,F,D,C,D,,C,F,B+,D,C,D,C+,,C,D+,,D+,D+,2.08
2563,100239505,F,B,,D+,C,C+,,C+,B,A,C,A,B,D+,B+,C,,C,C,C,C,C+,C,D,C+,B,B+,,A,B,2.6
2562,100239535,D,C+,,D+,C,B,B+,B+,B+,,D+,A,C+,D+,B,B,,C,D,C,D+,D,C,C+,B,B,B,,B+,B,2.39
2562,100239556,F,A,,D+,C+,B,B,C+,B+,,B,B,D+,C,C+,C,,C+,D+,C+,C,B+,C,B,B+,B+,C,,B+,C+,2.51
2562,100239593,F,A,,D+,A,B+,B,C,A,,C+,A,B+,A,B,B+,,C+,D+,C+,F,D,F,D+,C,B+,B+,,B,C+,2.47
2562,100239596,D+,B+,,D+,B,C+,B,B,A,,C,B,C,D+,B,C+,,C+,B+,C,C+,B+,D+,C,C+,,C+,,B,B,2.59
2562,100239598,D,B+,,D+,B,B,,C+,A,A,C+,A,B+,C+,A,B,,C+,B,C+,B,A,C,B,B,B,B,,B+,A,3.07
2562,100239606,D+,C,,F,D,B,,C+,B,A,C+,C,D+,D,D,D+,,C,D,C,D+,C,D+,D,C+,,C+,,B,D,2.01
2562,100239620,D+,B,,D+,C+,C+,,C+,B+,A,B,A,D+,C+,A,C+,,C+,C+,C,C,B,C,C,B+,B,C+,,B+,B+,2.8
2562,100239626,F,B+,,D,C,B,B,C+,B+,,C,C,D+,D+,B,B,,C,C,D,C,C+,D+,D+,B,,D+,,B+,B+,2.27
2562,100239666,D+,C+,,D+,C,B,B,C,B+,,C+,C+,D+,C,C+,B,,C,A,D+,C,B,C,D+,B+,,C,,B+,B+,2.49
2562,100239667,C,A,,C,A,B,,C+,B+,B+,C+,B+,D+,D,B,C,,C,D+,C,C+,B,C,D+,C+,B+,B,,B+,B,2.44
2562,100239668,C,C+,,F,C+,B,,C+,B+,A,C+,A,D+,D,B,C,,C,D+,C+,C,C,C,C,B,B+,C+,,A,B,2.52
2562,100239684,A,C+,,B+,C,C+,B+,C+,B+,,C+,B+,C,D+,B+,B+,,C,C+,C,C+,B,C,D+,C+,,B,,A,B,2.67
2564,100239685,F,C+,,D,C,B+,,B+,A,A,C+,A,C+,C+,B+,B,,B,D+,C,B,C+,D+,C,A,C+,B+,,C+,B+,2.82
2562,100239696,D+,C,,D,D,B,C,C+,C+,,C+,B,D,D,D+,C,,C,D,B,D,B+,C,D+,C+,,C+,,B+,B,2.14
2562,100239699,D+,A,,C+,A,B,B+,C+,B+,,C+,A,A,D+,A,B+,,C,B,C+,B,B,C,B+,C+,A,C,,C+,B+,2.88
2562,100239728,D+,C+,,F,D,B,C+,C,C+,,C+,B+,D,D,C,D+,,C,D+,B,C,C,C,D+,C+,,B,,B,B,2.31
2562,100239743,D+,C,,D+,D,C+,C+,C+,B+,,C+,B+,C+,C+,C+,C,,C,D+,C,C,C+,D,D+,B,C+,C+,,A,C,2.18
2562,100239751,B,A,,B,A,B+,,B,A,A,B,A,A,A,B+,A,,B+,A,A,A,A,B+,A,B,A,A,,A,A,3.79
2562,100239765,B,B,,A,B+,B+,,B,B,B+,C+,B,B+,D+,C+,B+,,C,A,C,A,B,C,C+,A,,B+,,B,C,3.04
2562,100239799,C+,B+,,C,C+,B,,C+,A,A,C,C,C+,C,A,B,,C,B+,D,C,B,C,D+,C,C+,C+,,B+,B,2.78
2562,100239815,D+,C+,,D,D,B,,C+,B+,A,B,B+,D,D,B+,C,,C,C,C,C,B+,C,B+,C+,B,C,,A,A,2.58
2563,100239827,F,D+,,D,F,C+,,C,B,B,C+,D+,D+,D,F,C,,C,F,B+,D+,D,D,D,C+,,C,,C+,D+,2
2563,100239844,F,C+,,F,D,B,,C,B+,D+,F,B,D+,D,B+,C,,C+,D,C,C,C+,D,D+,C+,,C,,C,D+,2.17
2562,100239854,D+,C+,,F,C,B,,C+,B,C+,C+,B+,D+,D+,C+,C+,,C,D+,B,C,C,C,C+,C+,C+,C+,,A,B,2.36
2562,100239887,A,A,,A,A,B+,B+,C+,A,,C+,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,,A,A,3.78
2562,100239895,D+,C+,,C,C,C+,C,C+,B+,,C,C+,B+,C+,D+,B,,D+,C+,C,C+,D+,C,C+,C+,C+,C,,B,C,2.29
2564,100239901,F,C,,F,F,B,,C,B+,B+,C,D+,D+,D,D,D+,,C,F,C,D,D,D,C,D+,C,D+,,D+,C,2.03
2562,100239902,D+,C+,,D,B+,C+,C+,C+,C+,,D+,B,C+,C+,C,C+,,A,D+,C,C,B,C,B+,A,B,B,,B,B+,2.55
2562,100239914,D,C+,,D+,C,C+,,C+,B+,A,B+,C,C,D,D+,B,,C,C+,D+,C,C+,C,C,B,C,C,,A,B,2.28
