,GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
0,2562,100205568,1.5,3.5,3.8410714285714285,2.5,1.0,2.5,2.0,2.5,3.6032608695652173,0.0,2.532258064516129,3.5,1.0,1.0,1.0,1.0,2.453405017921147,1.0,0.0,1.5,1.5,1.5,1.5,3.5,2.0,2.8112745098039214,2.773764258555133,2.9770408163265305,3.0,2.5,2.1
1,2562,100205606,1.0,3.5,3.8410714285714285,1.5,1.0,2.0,2.9541284403669725,2.5,3.6032608695652173,3.8441176470588236,2.532258064516129,1.5,2.0,1.5,0.0,3.5,2.453405017921147,2.0,1.0,1.5,2.0,2.5,1.0,1.5,2.0,2.5,2.0,2.9770408163265305,2.5,2.0,2.0
2,2564,100215265,0.0,3.0,3.8410714285714285,1.5,1.5,2.0,2.5,2.5,3.6032608695652173,3.8441176470588236,2.0,3.5,2.5,2.5,1.0,3.0,2.453405017921147,1.0,1.0,3.5,1.0,0.0,1.0,2.5,2.5232558139534884,2.0,2.773764258555133,2.9770408163265305,3.0,2.0,2.01
3,2562,100225543,0.0,2.5,3.8410714285714285,0.0,1.0,2.5,2.9541284403669725,2.5,3.6032608695652173,3.8441176470588236,2.5,2.5,1.5,1.5,2.0,1.5,2.453405017921147,2.0,0.0,2.5,2.0,1.0,1.5,1.5,2.5232558139534884,2.8112745098039214,2.0,2.9770408163265305,3.0,2.5,2.1
4,2565,100225544,0.0,2.5,3.8410714285714285,0.0,2.0,3.0,2.9541284403669725,2.5,3.6032608695652173,4.0,1.5,2.5,2.5,3.0,0.0,2.5,2.453405017921147,2.5,1.5,3.5,1.5,1.0,1.5,1.5,2.5232558139534884,1.5,2.0,2.9770408163265305,3.0,2.0,2.15
5,2562,100225553,0.0,1.5,3.8410714285714285,0.0,2.0,2.0,2.9541284403669725,2.5,3.6032608695652173,3.8441176470588236,2.5,0.0,1.5,2.0,2.5,2.0,2.453405017921147,2.5,2.0,2.5,1.0,1.0,1.5,1.5,2.5232558139534884,0.0,2.0,2.9770408163265305,3.0,3.5,2.0
6,2562,100225572,1.5,4.0,3.8410714285714285,1.0,4.0,3.5,2.9541284403669725,3.0,3.6032608695652173,3.8441176470588236,2.532258064516129,4.0,1.5,1.5,2.5,2.0,2.453405017921147,2.0,1.0,4.0,1.5,1.5,0.0,2.0,2.5,2.8112745098039214,2.0,2.9770408163265305,3.0,2.0,2.46
7,2562,100225580,1.5,2.5,3.8410714285714285,0.0,2.0,3.0,4.0,2.5,3.6032608695652173,3.8441176470588236,2.0,2.0,1.5,2.0,2.0,2.0,2.453405017921147,2.0,1.5,2.0,1.5,1.0,0.0,2.5,2.5,1.5,2.0,2.9770408163265305,2.5,2.5,2.08
8,2562,100239251,1.0,2.0,3.8410714285714285,1.5,1.0,3.0,2.9541284403669725,2.5,3.5,4.0,3.0,4.0,1.0,1.0,3.0,2.5,2.453405017921147,2.0,1.5,2.0,2.0,2.5,1.5,1.5,2.5,2.8112745098039214,2.5,2.9770408163265305,4.0,3.5,2.3
9,2562,100239272,2.5,3.0,3.8410714285714285,2.5,4.0,3.0,3.0,2.5,3.5,3.8441176470588236,2.0,4.0,4.0,3.0,4.0,3.5,2.453405017921147,3.5,2.5,2.0,4.0,4.0,3.0,3.5,4.0,4.0,2.5,2.9770408163265305,4.0,4.0,3.3
